,onnxruntime__fail,tensorrt__fail,tvm__fail,openvino__fail,torchscript__fail,torch_compile__fail,xla__fail,tensorflow__fail,tflite__fail,onnxruntime__pass,tensorrt__pass,tvm__pass,openvino__pass,torchscript__pass,torch_compile__pass,xla__pass,tensorflow__pass,tflite__pass
cmp_greaterorequal_where_v4_8,False,False,False,False,True,True,False,False,False,True,True,True,True,False,False,True,True,True
cmp_greaterorequal_where_v4_9,False,False,False,False,True,True,False,False,False,True,True,True,True,False,False,True,True,True
cmp_less_where_v4_10,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
cmp_greater_where_v4_11,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
pad_constant_sym1_v4,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
pad_constant_asym_v4,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
pad_edge_sym1_v4,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
pad_edge_asym_v4,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
pad_reflect_sym1_v4,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
pad_reflect_asym_v4,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
pad_wrap_sym1_v4,False,False,True,True,True,True,False,False,False,True,True,False,False,False,False,True,True,True
pad_constant_big_v4,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
resize_linear_half_pixel_16to32_v4_0,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
resize_linear_half_pixel_16to8_v4_1,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
resize_linear_asymmetric_16to32_v4_2,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False
resize_linear_asymmetric_16to8_v4_3,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False
resize_linear_align_corners_16to32_v4_4,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False
resize_linear_align_corners_16to8_v4_5,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False
resize_linear_pytorch_half_pixel_16to32_v4_6,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
resize_linear_pytorch_half_pixel_16to8_v4_7,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
resize_nearest_asymmetric_16to32_v4_8,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
resize_nearest_asymmetric_16to8_v4_9,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
resize_nearest_half_pixel_16to24_v4_10,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False
resize_nearest_align_corners_16to24_v4_11,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False
pool_maxpool_k2_s2_c0_v4_0,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False
pool_maxpool_k3_s2_c0_v4_1,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False
pool_maxpool_k3_s2_c1_v4_2,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False
pool_maxpool_k5_s2_c0_v4_3,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False
pool_maxpool_k3_s1_c0_v4_4,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False
pool_averagepool_k2_s2_c0_v4_5,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False
pool_averagepool_k3_s2_c0_v4_6,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False
pool_averagepool_k3_s2_c0_v4_7,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
pool_averagepool_k5_s2_c0_v4_8,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False
pool_averagepool_k3_s1_c0_v4_9,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False
pool_globalaveragepool_k0_s0_c0_v4_10,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
pool_globalmaxpool_k0_s0_c0_v4_11,False,False,False,False,True,True,False,False,False,True,True,True,True,False,False,True,True,True
gather_axis0_k1_v4_0,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
gather_axism1_k1_v4_1,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
gather_axism1_k2_v4_3,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
gather_axis1_k1_v4_4,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
gather_axis1_k2_v4_5,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
concat_self_axism1_v4_0,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
concat_self_axis0_v4_1,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
concat_self_axis1_v4_2,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
concat_self_axism2_v4_3,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
slice_half_axism1_v4_0,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
slice_half_axis1_v4_1,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
slice_half_axism2_v4_3,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
slice_half_axis2_v4_4,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
slice_half_axis1_v4_5,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
scatter_axism1_none_v4_1,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False
scatter_axism1_add_v4_3,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False
misc_squeeze_unsqueeze_v4_16,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
misc_transpose_back_v4_17,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
norm_ln_eps_1e3_v4_0,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
norm_ln_eps_1e7_v4_1,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
norm_ln_axis_-2_v4_2,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
norm_bn_default_v4_3,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
norm_bn_high_eps_v4_4,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
norm_in_default_v4_5,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
norm_in_high_eps_v4_6,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
norm_ln_eps_zero_v4_7,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
norm_bn_eps_1e7_v4_8,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
norm_ln_first_axis_v4_9,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
misc_log_softmax_v4_6,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
misc_std_manual_v4_15,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
alg_add_zero_v4_0,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
alg_sub_zero_v4_1,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
alg_mul_one_v4_2,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
alg_div_one_v4_3,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
alg_x_minus_x_plus_x_v4_4,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
alg_neg_neg_v4_5,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
alg_abs_of_pos_v4_6,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
alg_pow_of_one_v4_7,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
alg_max_with_self_v4_8,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
alg_min_with_self_v4_9,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
alg_concat_self_split_first_v4_10,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
alg_where_const_true_v4_11,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
misc_dropout_eval_v4_9,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
abs_neg_relu,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
abs_unary_simple,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
acos_unary,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False
acosh_positive,False,False,False,False,True,True,False,False,True,True,True,True,True,False,False,True,True,False
ada_layer_norm,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
add_layernorm,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
add_mul_add_chain,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
add_relu_sub,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
add_self_sub_double,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
add_zero_identity,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
alibi_attention,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
asin_unary,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False
asinh_unary,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False
aspp_dilated_branch,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
atan_unary,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False
atanh_bounded,False,False,False,False,True,True,False,False,True,True,True,True,True,False,False,True,True,False
attention_bart_scale_first,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
attention_causal_only,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
attention_gated_swiglu,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
attention_logit_softcap,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
attention_plus_rmsnorm,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
attention_residual_layernorm,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
attention_shared_qkv,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
attention_with_bias,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
attention_with_sink_token,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
avgpool_count_include_pad,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
avgpool_scale_bias,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False
batchnorm_chain_small_eps,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
batchnorm_eval,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
batchnorm_momentum_custom,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
batchnorm_relu6,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
bias_softmax_fusion,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
bn_conv_bn_sandwich,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
branch_min_then_max,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
broadcast_1d_scalar,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
broadcast_1x1x1x1,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
broadcast_1xCx1x1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
cast_fp32_int32_roundtrip,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
cast_identity_float,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
cast_int_roundtrip,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
cast_reshape_concat,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False
cast_roundtrip,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
causal_masked_attention,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
ceil_mode_avg_pool_conv,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False
ceil_unary,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
celu_activation,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False
channel_gating_branch,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
channel_shuffle,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
clip_bounded_relu,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
clipped_affine,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
concat_conv,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
concat_resize_concat,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
concat_single_input,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
concat_with_zero,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
constant_add_mul,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
constant_of_shape_add,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_add_relu,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_add_relu_maxpool,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False
conv_asym_pad_bn,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_asymmetric_pads_01,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_bn_conv_bn,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_bn_elu,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_bn_elu_v2,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
conv_bn_eval_explicit,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
